Dept.,Course,Start Date,Start Time,Duration (Mins),End Date,End Time,Location,Availability
AFRI,AFRI 1001 A,Dec-11-2024,09:00,120,Dec-11-2024,11:00,FH,Fixed Duration
AFRI,AFRI 2003 A,Dec-16-2024,09:00,180,Dec-16-2024,12:00,TB 202,Fixed Duration
ARCH,ARCC 2202 A,Dec-12-2024,14:00,180,Dec-12-2024,17:00,FH,Fixed Duration
ARCH,ARCC 5096 F,Dec-12-2024,14:00,180,Dec-12-2024,17:00,FH,Fixed Duration
ARCH,ARCC 5100 F,Dec-12-2024,09:00,120,Dec-12-2024,11:00,AA 204,Fixed Duration
ARCH,ARCH 2006 A,Dec-9-2024,10:00,90,Dec-9-2024,17:00,ON LINE,Fixed Within Range
ARTC,ARTH 1100 A,Dec-11-2024,14:00,120,Dec-11-2024,16:00,RB 2200,Fixed Duration
ARTC,ARTH 1200 A,Dec-16-2024,19:00,120,Dec-16-2024,21:00,RB 2200,Fixed Duration
ARTC,ARTH 2002 A,Dec-18-2024,09:00,120,Dec-18-2024,11:00,SP 100,Fixed Duration
ARTC,ARTH 2404 A,Dec-20-2024,19:00,180,Dec-20-2024,22:00,AT 101,Fixed Duration
ARTC,ARTH 3102 A,Dec-17-2024,09:00,120,Dec-17-2024,11:00,NN 231,Fixed Duration
ARTC,FILM 2401 A,Dec-15-2024,19:00,180,Dec-15-2024,22:00,TB 236,Fixed Duration
ARTC,MUSI 1000 A,Dec-16-2024,14:00,180,Dec-16-2024,17:00,NN 182,Fixed Duration
ARTC,MUSI 1002 A,Dec-11-2024,09:00,180,Dec-11-2024,12:00,AH,Fixed Duration
ARTC,MUSI 1107 A,Dec-13-2024,09:00,180,Dec-13-2024,12:00,LA A900,Fixed Duration
ARTC,MUSI 1700 A,Dec-19-2024,14:00,180,Dec-19-2024,17:00,LA A900,Fixed Duration
ARTC,MUSI 2005 A,Dec-14-2024,09:00,240,Dec-14-2024,13:00,LA A900,Fixed Duration
ARTC,MUSI 2700 A,Dec-19-2024,09:00,120,Dec-19-2024,11:00,LA A900,Fixed Duration
ARTC,MUSI 2710 A,Dec-17-2024,14:00,120,Dec-17-2024,16:00,LA A900,Fixed Duration
ARTC,MUSI 3201 A,Dec-17-2024,09:00,180,Dec-17-2024,12:00,LA A900,Fixed Duration
ARTC,MUSI 3701 A,Dec-12-2024,09:00,240,Dec-12-2024,13:00,LA A900,Fixed Duration
ARTC,MUSI 4201 A,Dec-16-2024,09:00,180,Dec-16-2024,12:00,LA A900,Fixed Duration
BIOC,BIOC 2200 A,Dec-12-2024,14:00,180,Dec-12-2024,17:00,AH,Fixed Duration
BIOC,BIOC 2300 A,Dec-13-2024,14:00,180,Dec-13-2024,17:00,TB 208,Fixed Duration
BIOC,BIOC 3101 A,Dec-13-2024,09:00,180,Dec-13-2024,12:00,AT 101,Fixed Duration
BIOL,BIOL 1103 A,Dec-10-2024,14:00,180,Dec-10-2024,17:00,ON LINE,Fixed Duration
BIOL,BIOL 1103 B,Dec-10-2024,14:00,180,Dec-10-2024,17:00,ON LINE,Fixed Duration
BIOL,BIOL 1105 A,Dec-19-2024,20:00,120,Dec-20-2024,20:00,ON LINE,Fixed Within Range
BIOL,BIOL 1902 R,Dec-16-2024,09:00,150,Dec-16-2024,11:30,ON LINE,Fixed Duration
BIOL,BIOL 2002 A,Dec-16-2024,14:00,180,Dec-16-2024,17:00,FH,Fixed Duration
BIOL,BIOL 2005 A,Dec-19-2024,19:00,120,Dec-19-2024,21:00,ON LINE,Fixed Duration
BIOL,BIOL 2200 A,Dec-12-2024,14:00,180,Dec-12-2024,17:00,AH,Fixed Duration
BIOL,BIOL 2201 A,Dec-14-2024,09:00,120,Dec-14-2024,11:00,ON LINE,Fixed Duration
BIOL,BIOL 2600 A,Dec-14-2024,14:00,180,Dec-14-2024,17:00,AH,Fixed Duration
BIOL,BIOL 3004 A,Dec-18-2024,14:00,180,Dec-18-2024,17:00,AT 302,Fixed Duration
BIOL,BIOL 3102 A,Dec-9-2024,09:00,180,Dec-9-2024,12:00,AT 101,Fixed Duration
BIOL,BIOL 3104 A,Dec-20-2024,09:00,180,Dec-20-2024,12:00,AH,Fixed Duration
BIOL,BIOL 3112 A,Dec-13-2024,14:00,120,Dec-13-2024,16:00,NN 180,Fixed Duration
BIOL,BIOL 3201 A,Dec-16-2024,09:00,180,Dec-16-2024,12:00,AH,Fixed Duration
BIOL,BIOL 3305 A,Dec-17-2024,09:00,180,Dec-17-2024,12:00,FH,Fixed Duration
BIOL,BIOL 3306 A,Dec-15-2024,09:00,180,Dec-15-2024,12:00,AH,Fixed Duration
BIOL,BIOL 3604 A,Dec-12-2024,14:00,120,Dec-12-2024,16:00,FH,Fixed Duration
BIOL,BIOL 4008 A,Dec-16-2024,09:00,90,Dec-16-2024,10:30,TB 217,Fixed Duration
BIT,BIT 1000 A,Dec-19-2024,09:00,180,Dec-19-2024,12:00,FH,Fixed Duration
BIT,BIT 1100 A,Dec-9-2024,14:00,180,Dec-9-2024,17:00,NN 282,Fixed Duration
BIT,BIT 1101 A,Dec-16-2024,14:00,180,Dec-16-2024,17:00,FH,Fixed Duration
BIT,BIT 1200 A,Dec-18-2024,14:00,180,Dec-18-2024,17:00,FH,Fixed Duration
BIT,BIT 1203 A,Dec-19-2024,14:00,180,Dec-19-2024,17:00,AH,Fixed Duration
BIT,BIT 1400 A,Dec-16-2024,14:00,180,Dec-16-2024,17:00,FH,Fixed Duration
BIT,BIT 2001 A,Dec-20-2024,09:00,180,Dec-20-2024,12:00,AH,Fixed Duration
BIT,BIT 2008 A,Dec-12-2024,09:00,180,Dec-12-2024,12:00,AH,Fixed Duration
BIT,BIT 2010 A,Dec-18-2024,09:00,180,Dec-18-2024,12:00,TB 202,Fixed Duration
BIT,BIT 2400 A,Dec-13-2024,14:00,180,Dec-13-2024,17:00,AP 134,Fixed Duration
BIT,IMD 1000 A,Dec-13-2024,14:00,120,Dec-13-2024,16:00,AH,Fixed Duration
BIT,IMD 4008 A,Dec-11-2024,09:00,180,Dec-11-2024,12:00,TB 217,Fixed Duration
BIT,IRM 1005 A,Dec-18-2024,09:00,180,Dec-18-2024,12:00,FH,Fixed Duration
BIT,IRM 1007 A,Dec-13-2024,09:00,120,Dec-13-2024,11:00,FH,Fixed Duration
BIT,IRM 1008 A,Dec-9-2024,14:00,120,Dec-9-2024,16:00,AT 302,Fixed Duration
BIT,IRM 2005 A,Dec-16-2024,09:00,120,Dec-16-2024,11:00,AT 302,Fixed Duration
BIT,IRM 3006 A,Dec-19-2024,14:00,60,Dec-19-2024,15:00,AH,Fixed Duration
BIT,ITEC 1005 A,Dec-18-2024,09:00,180,Dec-18-2024,12:00,FH,Fixed Duration
BIT,ITEC 1100 A,Dec-13-2024,14:00,120,Dec-13-2024,16:00,AH,Fixed Duration
BIT,ITEC 2000 A,Dec-12-2024,09:00,180,Dec-12-2024,12:00,AH,Fixed Duration
BIT,ITEC 2400 A,Dec-13-2024,14:00,180,Dec-13-2024,17:00,AP 134,Fixed Duration
BIT,ITEC 2401 A,Dec-17-2024,14:00,180,Dec-17-2024,17:00,AP 134,Fixed Duration
BIT,ITEC 5111 F,Dec-12-2024,14:00,90,Dec-12-2024,15:30,FH,Fixed Duration
BIT,ITEC 5114 F,Dec-20-2024,14:00,90,Dec-20-2024,15:30,TB 230,Fixed Duration
BIT,NET 1001 A,Dec-12-2024,14:00,120,Dec-12-2024,16:00,AT 302,Fixed Duration
BIT,NET 1002 A,Dec-10-2024,09:00,150,Dec-10-2024,11:30,AT 101,Fixed Duration
BIT,NET 2000 A,Dec-10-2024,09:00,60,Dec-10-2024,10:00,HS 1301,Fixed Duration
BIT,NET 2008 A,Dec-13-2024,09:00,150,Dec-13-2024,11:30,HS 1301,Fixed Duration
BIT,NET 2010 A,Dec-11-2024,14:00,90,Dec-11-2024,15:30,AT 301,Fixed Duration
BIT,NET 3000 A,Dec-12-2024,09:00,180,Dec-12-2024,12:00,AT 301,Fixed Duration
BIT,NET 3004 A,Dec-16-2024,14:00,120,Dec-16-2024,16:00,FH,Fixed Duration
BIT,NET 3007 A,Dec-13-2024,14:00,180,Dec-13-2024,17:00,AT 302,Fixed Duration
BIT,NET 3008 A,Dec-10-2024,09:00,150,Dec-10-2024,11:30,NI 3020,Fixed Duration
BIT,NET 4001 A,Dec-9-2024,09:00,120,Dec-9-2024,11:00,AP 134,Fixed Duration
BIT,NET 4005 A,Dec-18-2024,14:00,90,Dec-18-2024,15:30,HS 1301,Fixed Duration
BIT,NET 4007 A,Dec-12-2024,14:00,90,Dec-12-2024,15:30,FH,Fixed Duration
BIT,NET 4009 A,Dec-10-2024,14:00,60,Dec-10-2024,15:00,AT 301,Fixed Duration
BIT,OSS 1006 A,Dec-12-2024,14:00,120,Dec-12-2024,16:00,ML 153,Fixed Duration
BIT,OSS 2001 A,Dec-16-2024,14:00,120,Dec-16-2024,16:00,TB 236,Fixed Duration
BIT,OSS 2005 A,Dec-9-2024,09:00,120,Dec-9-2024,11:00,TB 236,Fixed Duration
BIT,OSS 2008 A,Dec-13-2024,14:00,120,Dec-13-2024,16:00,NI 4020,Fixed Duration
BIT,OSS 2009 A,Dec-11-2024,14:00,120,Dec-11-2024,16:00,TB 202,Fixed Duration
BIT,OSS 3000 A,Dec-20-2024,14:00,120,Dec-20-2024,16:00,TB 446,Fixed Duration
BIT,OSS 3003 A,Dec-10-2024,14:00,180,Dec-10-2024,17:00,TB 210,Fixed Duration
BIT,OSS 3004 A,Dec-16-2024,14:00,120,Dec-16-2024,16:00,FH,Fixed Duration
BIT,OSS 3012 A,Dec-13-2024,14:00,180,Dec-13-2024,17:00,TB 447,Fixed Duration
BIT,OSS 4001 A,Dec-20-2024,14:00,120,Dec-20-2024,16:00,NN 282,Fixed Duration
BIT,OSS 4006 A,Dec-13-2024,14:00,180,Dec-13-2024,17:00,TB 230,Fixed Duration
BIT,OSS 4008 A,Dec-10-2024,09:00,90,Dec-10-2024,10:30,TB 202,Fixed Duration
BUSI,BUSI 1001 R,Dec-13-2024,09:00,180,Dec-13-2024,12:00,NI 4010,Fixed Duration
BUSI,BUSI 1002 R,Dec-16-2024,14:00,180,Dec-16-2024,17:00,AH,Fixed Duration
BUSI,BUSI 1003 A,Dec-14-2024,14:00,120,Dec-14-2024,16:00,AH,Fixed Duration
BUSI,BUSI 1004 A,Dec-16-2024,14:00,180,Dec-16-2024,17:00,FH,Fixed Duration
BUSI,BUSI 1005 A,Dec-16-2024,14:00,180,Dec-16-2024,17:00,AH,Fixed Duration
BUSI,BUSI 1401 A,Dec-10-2024,14:00,180,Dec-10-2024,17:00,AH,Fixed Duration
BUSI,BUSI 1401 B,Dec-10-2024,14:00,180,Dec-10-2024,17:00,AH,Fixed Duration
BUSI,BUSI 1401 C,Dec-10-2024,14:00,180,Dec-10-2024,17:00,AH,Fixed Duration
BUSI,BUSI 1401 D,Dec-10-2024,14:00,180,Dec-10-2024,17:00,AH,Fixed Duration
BUSI,BUSI 1800 A,Dec-19-2024,09:00,180,Dec-19-2024,12:00,AH,Fixed Duration
BUSI,BUSI 1800 B,Dec-19-2024,09:00,180,Dec-19-2024,12:00,AH,Fixed Duration
BUSI,BUSI 1800 C,Dec-19-2024,09:00,180,Dec-19-2024,12:00,AH,Fixed Duration
BUSI,BUSI 2001 A,Dec-20-2024,09:00,180,Dec-20-2024,12:00,HS 1301,Fixed Duration
BUSI,BUSI 2001 R,Dec-20-2024,09:00,180,Dec-20-2024,12:00,HS 1301,Fixed Duration
BUSI,BUSI 2002 A,Dec-16-2024,14:00,180,Dec-16-2024,17:00,NI 4010,Fixed Duration
BUSI,BUSI 2101 A,Dec-18-2024,14:00,180,Dec-18-2024,17:00,AH,Fixed Duration
BUSI,BUSI 2121 A,Dec-19-2024,19:00,180,Dec-19-2024,22:00,NI 4010,Fixed Duration
BUSI,BUSI 2204 A,Dec-17-2024,09:00,180,Dec-17-2024,12:00,HS 1301,Fixed Duration
BUSI,BUSI 2208 A,Dec-18-2024,09:00,150,Dec-18-2024,11:30,NI 4010,Fixed Duration
BUSI,BUSI 2208 B,Dec-18-2024,09:00,150,Dec-18-2024,11:30,HS 1301,Fixed Duration
BUSI,BUSI 2208 C,Dec-18-2024,09:00,150,Dec-18-2024,11:30,HS 1301,Fixed Duration
